2024-06-13 21:36:08.370 | INFO  | restartedMain | o.s.b.w.e.t.TomcatWebServer >>>>> Tomcat started on port 9191 (http) with context path ''
2024-06-13 21:36:08.379 | INFO  | restartedMain | c.e.m.MemberApplication >>>>> Started MemberApplication in 1.577 seconds (process running for 2.181)
2024-06-13 21:36:08.585 | INFO  | RMI TCP Connection(3)-192.168.31.173 | o.a.c.c.C.[.[.[/] >>>>> Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-06-13 21:36:08.586 | INFO  | RMI TCP Connection(3)-192.168.31.173 | o.s.w.s.DispatcherServlet >>>>> Initializing Servlet 'dispatcherServlet'
2024-06-13 21:36:08.587 | INFO  | RMI TCP Connection(3)-192.168.31.173 | o.s.w.s.DispatcherServlet >>>>> Completed initialization in 1 ms
2024-06-13 21:36:08.624 | INFO  | RMI TCP Connection(2)-192.168.31.173 | c.a.d.p.DruidDataSource >>>>> {dataSource-1} inited
2024-06-13 21:36:33.806 | INFO  | http-nio-9191-exec-3 | o.s.a.AbstractOpenApiResource >>>>> Init duration for springdoc-openapi is: 111 ms
2024-06-13 21:38:04.538 | INFO  | SpringApplicationShutdownHook | c.a.d.p.DruidDataSource >>>>> {dataSource-1} closing ...
2024-06-13 21:38:04.541 | INFO  | SpringApplicationShutdownHook | c.a.d.p.DruidDataSource >>>>> {dataSource-1} closed
2024-06-13 21:38:06.819 | INFO  | restartedMain | c.e.m.MemberApplication >>>>> Starting MemberApplication using Java 17.0.9 with PID 10980 (D:\GithubProjects\SpringCloud\E-Commerce-Center\member-service-provider-10000\target\classes started by 30218 in D:\GithubProjects\SpringCloud)
2024-06-13 21:38:06.824 | INFO  | restartedMain | c.e.m.MemberApplication >>>>> No active profile set, falling back to 1 default profile: "default"
2024-06-13 21:38:06.844 | INFO  | restartedMain | o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor >>>>> Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-06-13 21:38:06.844 | INFO  | restartedMain | o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor >>>>> For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-06-13 21:38:07.542 | INFO  | restartedMain | o.s.b.w.e.t.TomcatWebServer >>>>> Tomcat initialized with port 9191 (http)
2024-06-13 21:38:07.548 | INFO  | restartedMain | o.a.c.h.Http11NioProtocol >>>>> Initializing ProtocolHandler ["http-nio-9191"]
2024-06-13 21:38:07.549 | INFO  | restartedMain | o.a.c.c.StandardService >>>>> Starting service [Tomcat]
2024-06-13 21:38:07.549 | INFO  | restartedMain | o.a.c.c.StandardEngine >>>>> Starting Servlet engine: [Apache Tomcat/10.1.16]
2024-06-13 21:38:07.579 | INFO  | restartedMain | o.a.c.c.C.[.[.[/] >>>>> Initializing Spring embedded WebApplicationContext
2024-06-13 21:38:07.579 | INFO  | restartedMain | o.s.b.w.s.c.ServletWebServerApplicationContext >>>>> Root WebApplicationContext: initialization completed in 734 ms
2024-06-13 21:38:08.123 | INFO  | restartedMain | o.s.b.d.a.OptionalLiveReloadServer >>>>> LiveReload server is running on port 35729
2024-06-13 21:38:08.126 | INFO  | restartedMain | o.s.b.a.e.w.EndpointLinksResolver >>>>> Exposing 1 endpoint(s) beneath base path '/actuator'
